combination,molecule_id,score,final_concentration,rank_metric
yeast + bacteroides,NADH,48.0,0.4261119427854492,20.453373253701564
yeast + bacillus,NADH,48.0,0.4261119427854492,20.453373253701564
yeast + bordetella,NADH,48.0,0.4261119427854492,20.453373253701564
yeast + staphylococcus,NADH,48.0,0.4261119427854492,20.453373253701564
yeast + helicobacter,NADH,48.0,0.4261119427854492,20.453373253701564
yeast + vibrio,NADH,48.0,0.4261119427854492,20.453373253701564
yeast + mycobacterium,NADH,48.0,0.4261119427854492,20.453373253701564
yeast + salmonella,NADH,48.0,0.4261119427854492,20.453373253701564
ecoli + yeast,polysaccharide_lps,73.5,0.2516528493431756,18.496484426723406
yeast + vibrio,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + enterococcus,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + staphylococcus,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + bordetella,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + bacillus,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + legionella,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + mycobacterium,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + bacteroides,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + clostridium,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + helicobacter,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + salmonella,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + faecalibacterium,polysaccharide_lps,73.5,0.2516528493431755,18.4964844267234
yeast + flu_virus,mannan_polysaccharide,70.5,0.2495084442462783,17.59034531936262
yeast + vibrio,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + bacteroides,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + enterococcus,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + helicobacter,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + bordetella,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + mycobacterium,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + faecalibacterium,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + legionella,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + salmonella,lactate,48.0,0.3327227807841699,15.970693477640154
ecoli + yeast,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + bacillus,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + clostridium,lactate,48.0,0.3327227807841699,15.970693477640154
yeast + staphylococcus,lactate,48.0,0.3327227807841699,15.970693477640154
bifidobacterium + bordetella,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + streptococcus,ATP,29.5,0.5324472398157902,15.707193574565812
yeast + streptococcus,ATP,29.5,0.5324472398157902,15.707193574565812
ecoli + bifidobacterium,ATP,29.5,0.5324472398157902,15.707193574565812
yeast + lactobacillus,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + faecalibacterium,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + mycobacterium,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + vibrio,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + legionella,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + helicobacter,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + clostridium,ATP,29.5,0.5324472398157902,15.707193574565812
bacteroides + bifidobacterium,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + mycobacterium,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + bordetella,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + pseudomonas,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + bacteroides,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + bifidobacterium,ATP,29.5,0.5324472398157902,15.707193574565812
yeast + klebsiella,ATP,29.5,0.5324472398157902,15.707193574565812
salmonella + bifidobacterium,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + clostridium,ATP,29.5,0.5324472398157902,15.707193574565812
yeast + pseudomonas,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + streptococcus,ATP,29.5,0.5324472398157902,15.707193574565812
salmonella + lactobacillus,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + enterococcus,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + enterococcus,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + staphylococcus,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + legionella,ATP,29.5,0.5324472398157902,15.707193574565812
ecoli + lactobacillus,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + vibrio,ATP,29.5,0.5324472398157902,15.707193574565812
flu_virus + lactobacillus,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + klebsiella,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + helicobacter,ATP,29.5,0.5324472398157902,15.707193574565812
bifidobacterium + pseudomonas,ATP,29.5,0.5324472398157902,15.707193574565812
lactobacillus + klebsiella,ATP,29.5,0.5324472398157902,15.707193574565812
